"nome palestra","discipline","indirizzo","telefono","orari di apertura","pagina web","lat","long"
"Centro Fitness Lido Locarno","Fitness","Via Gioacchino Respini 11, 6601 Locarno, Svizzera","+41 79 591 38 27","Lun 08:30-21 | Mar 07:30-21 | Mer 08:30-21 | Gio 07:30-21 | Ven 08:30-21 | Sab 09-18 | Dom 09-18","https://www.lidolocarno.ch/it/centro-fitness","46.161709000000002","8.8032350000000008"
"Centro Gayatri","Yoga","Via Tarì Cippo 9, 6944 Cureglia, Svizzera","+41 91 600 33 23","Lun 00:00-24:00 | Mar 00:00-24:00 | Mer 00:00-24:00 | Gio 00:00-24:00 | Ven 00:00-24:00 | Sab 00:00-24:00 | Dom chiuso","https://yellow.local.ch/d/jYhtOc1svIzRk5VaKvl4YQ","46.037275000000001","8.9470189999999992"
"Centro Giovani Chiasso","Fitness","Via Generale E.Guisan 17, 6830 Chiasso, Svizzera","+41 58 122 48 57","Orari da verificare","https://www.chiasso.ch/istruzione-socialita/centro-giovani/","45.832579000000003","9.0224159999999998"
"Centro Gioventù e Sport Bellinzona","Fitness","Via Francesco Chiesa 4, 6500 Bellinzona, Svizzera","+41 91 814 58 51","Lun 08-17:30 | Mar 08-17:30 | Mer 08-17:30 | Gio 08-17:30 | Ven 08-17:30 | Sab chiuso | Dom chiuso","https://www4.ti.ch/decs/sa/us/settori/gioventu-e-sport/presentazione","46.195965000000001","9.0142050000000005"
"Centro I.a.c.m.a.","Fitness","Via Sonvico 9, 6948 Porza, Svizzera","+41 91 941 78 66","Orari da verificare","https://www.iacma.com/","46.025644999999997","8.9641040000000007"
"Centro KamaYoga","Yoga","Via Dante Alighieri, 13, 21047 Saronno VA, Italia","+39 349 259 3608","Orari da verificare","https://www.instagram.com/_kamayogaigsh=bjk5eTVzMWI0eXMz&utm_source=qr","45.619785","9.0425719999999998"
"Centro Manipura","Yoga","Via Cantonale 34, 6525 Gnosca, Svizzera","+41 79 521 45 26","Lun 08-21 | Mar 08-21 | Mer 08-21 | Gio 08-21 | Ven 18-19:30 | Sab chiuso | Dom chiuso","http://www.nyamayoga.ch/","46.233013999999997","9.0228660000000005"
"Centro medico Polaris","Fitness","Via Vallone, 1, 21016 Luino VA, Italia","+39 0332 511243","Lun 08-13, 14-19 | Mar 08-19 | Mer 08-19 | Gio 08:30-19 | Ven 08:30-13, 14-20 | Sab 08-19 | Dom chiuso","http://www.centromedicopolaris.it/","45.996043999999998","8.7442550000000008"
"Centro Olistico La Tana del Bianconiglio","Yoga","Via delle Lucciole, 13, 21052 Busto Arsizio VA, Italia","+39 347 416 3098","Orari da verificare","http://latanadelbianconiglio.info/","45.618549999999999","8.8293680000000005"
"Centro Pilates, Specializzato metodo Pilates","Pilates","Via Borghese 14, 6600 Locarno, Svizzera","","Lun chiuso | Mar chiuso | Mer chiuso | Gio chiuso | Ven chiuso | Sab 09-12 | Dom chiuso","http://www.centropilates.ch/","46.170383999999999","8.7932659999999991"
"Centro Polivalente Comunale","Fitness","Via Fornaci, 1A, 21020 Ternate VA, Italia","","Orari da verificare","https://www.comune.ternate.va.it/vivere_il_comune/luoghi/luogo_9.html","45.783647999999999","8.6946359999999991"
"Centro Sport Varese","Fitness","Via Dalmazia, 15/17, 21100 Varese VA, Italia","+39 0332 335175","Lun 06-22 | Mar 06-22 | Mer 06-22 | Gio 06-22 | Ven 06-22 | Sab 09-16 | Dom 09-14","","45.823957999999998","8.8393239999999995"
"Centro Sportivo ""Carlo Matteo Uslenghi""","Fitness","Via Caravaggio, 21049 Tradate VA, Italia","","Orari da verificare","https://comune.tradate.va.it/luoghi/centro-sportivo-c-m-uslenghi/","45.70505","8.9013939999999998"
"Centro Sportivo Adorna","Fitness","Via Campagna Adorna, 6850 Mendrisio, Svizzera","+41 58 688 31 31","Orari da verificare","http://mendrisio.ch/strutture/centro-sportivo-adorna-mendrisio/","45.858383000000003","8.9716439999999995"
"Centro Sportivo Cedrate","Fitness","21013 Gallarate VA, Italia","","Orari da verificare","https://www.cedratese1985.it/sedi","45.662315","8.808325"
"Centro Sportivo Club Azzurro Societa' Sportiva","Fitness","Via Cesare Battisti, 6, 21045 Gazzada Schianno VA, Italia","+39 0332 464080","Lun 09-22 | Mar 09-22 | Mer 09-22 | Gio 09-22 | Ven 09-22 | Sab 09-17 | Dom 09-13","http://www.csca.it/","45.768839999999997","8.8146749999999994"
"Centro Sportivo Collina d'Oro","Fitness","Via Nocc 9, 6925 Collina d'Oro, Svizzera","+41 91 986 46 46","Lun 08-21 | Mar 08-21 | Mer 08-21 | Gio 08-21 | Ven 08-21 | Sab 08-21 | Dom 08-21","https://www.vivicollinadoro.swiss/centro-sportivo","45.990068999999998","8.9362449999999995"
"Centro Sportivo Comunale Prealpi","Fitness","Via Sabotino, 21047 Saronno VA, Italia","","Orari da verificare","","45.634082999999997","9.0328879999999998"
"Centro Sportivo di Bellinzona","Fitness","Via Brunari 2, 6500 Bellinzona, Svizzera","+41 58 203 17 12","Lun 07-23 | Mar 07-23 | Mer 07-23 | Gio 07-23 | Ven 07-23 | Sab 07-23 | Dom 07-23","http://sport.bellinzona.ch/","46.200181999999998","9.0177239999999994"
"Centro sportivo Geretta","Fitness","Via Pratocarasso 37, 6500 Bellinzona, Svizzera","+41 91 821 87 35","Orari da verificare","","46.202714","9.0315670000000008"
"Centro Sportivo Italiano (CSI Varese)","Fitness","Via S. Francesco D'Assisi, 15, 21100 Varese VA, Italia","+39 0332 481116","Lun chiuso | Mar 09:30-13:30 | Mer 09:30-13:30 | Gio chiuso | Ven 09:30-13:30 | Sab chiuso | Dom chiuso","http://www.csivarese.com/","45.816392","8.8242720000000006"
"Centro Sportivo Italiano CSI Zona Gallarate","Fitness","Via dello Statuto, 1, 21017 Samarate VA, Italia","+39 366 720 4042","Orari da verificare","http://gallarate.csivarese.com/","45.628565000000002","8.7848539999999993"
"Centro Sportivo La Monda","Fitness","6943 Vezia, Svizzera","+41 91 800 11 70","Orari da verificare","http://www.vezia.ch/","46.026738999999999","8.9301100000000009"
"Centro Sportivo La Talpa S.A.S. di Marzio Franco Alessandro & C.","Fitness","Viale dello Sport, 26, 21026 Gavirate VA, Italia","+39 0332 746111","Lun 10-22 | Mar 10-00 | Mer 10-00 | Gio 00:00-24:00 | Ven 10-00 | Sab 10-19 | Dom 10-20","http://www.centrosportivolatalpa.it/","45.843580000000003","8.7007600000000007"
"Centro Sportivo Le Palme","Fitness","Via F. lli Vigorelli, 1B, 21013 Gallarate VA, Italia","","Orari da verificare","","45.654198999999998","8.8117140000000003"
"Centro Sportivo Lozza","Fitness","Via Giuseppe Verdi, 14, 21040 Lozza VA, Italia","+39 338 159 0132","Lun 09-23 | Mar 09-23 | Mer 09-23 | Gio 09-23 | Ven 09-23 | Sab 09-21 | Dom 09-21","","45.775711000000001","8.8532279999999997"
"Centro Sportivo Matteotti","Fitness","V. Sampietro, 21047 Saronno VA, Italia","+39 373 804 8026","Orari da verificare","http://www.comune.saronno.va.it/servizi/Menu/dinamica.aspxidSezione=616&idArea=16417&idCat=16473&ID=16481&TipoElemento=categoria","45.614226000000002","9.023199"
"Centro Sportivo Moriggia","Fitness","Via Benedetto Croce, 1, 21013 Gallarate VA, Italia","+39 0331 780137","Lun 09-19:30 | Mar 09-19:30 | Mer 09-19:30 | Gio 09-19:30 | Ven 09-19:30 | Sab 09-19:30 | Dom 09-19:30","https://www.clubsporting.it/web2/","45.673101000000003","8.7586539999999999"
"Centro Sportivo Nazionale della Gioventù","Fitness","Via alle Brere 10, 6598 Tenero-Contra, Svizzera","+41 58 468 61 11","Lun 08-22 | Mar 08-22 | Mer 08-22 | Gio 08-22 | Ven 08-22 | Sab 08-22 | Dom 08-22","http://www.cstenero.ch/","46.172049999999999","8.8552129999999991"
"Centro Sportivo Scuolatennis.it","Fitness","Piazzale Guglielmo Marconi, 21, 21016 Luino VA, Italia","+39 348 726 3617","Lun 08-23 | Mar 08-23 | Mer 08-23 | Gio 08-23 | Ven 08-23 | Sab 08-23 | Dom 08-23","http://www.scuolatennis.it/","45.996710999999998","8.7364990000000002"
"Centro Sportivo Tennis West Varese","Fitness","Str. Armino, 4, 21034 Cocquio-Trevisago VA, Italia","+39 377 210 8609","Lun 08-00 | Mar 08-00 | Mer 08-00 | Gio 08-00 | Ven 08-00 | Sab 08-00 | Dom 08-00","","45.856785000000002","8.7040629999999997"
"Centro Sportivo Val Gersa Piscina","Nuoto","Via centro Sportivo 1, 6942 Savosa, Svizzera","+41 91 966 53 41","Lun 10-19 | Mar 10-19 | Mer 10-19 | Gio 10-19 | Ven 10-19 | Sab 10-19 | Dom 10-19","https://valgersa.ch/","46.016083999999999","8.9402489999999997"
"Centro Studi Karate Busto Arsizio","Karate","Via Magenta, 86, 21052 Busto Arsizio VA, Italia","+39 338 733 5061","Lun 09-19 | Mar 09-19 | Mer 09-19 | Gio 14-19 | Ven 09-19 | Sab chiuso | Dom chiuso","http://cskbustoa.it/","45.594406999999997","8.8467590000000005"
"Centro taekwondo Baier","Taekwondo","Via Benedetto Croce, 1, 21013 Gallarate VA, Italia","","Lun 19-20 | Mar chiuso | Mer chiuso | Gio 18:20-19:20 | Ven 19-20 | Sab chiuso | Dom chiuso","http://www.centrotaekwondobaier.it/","45.673276000000001","8.7590070000000004"
"Centro Yoga Ashoka","Yoga","Corso Bello 9 (entrata, Via Luigi Lavizzari 20, 6850 Mendrisio, Svizzera","+41 76 330 10 48","Orari da verificare","http://www.antonellakurzen.com/","45.870013","8.9879529999999992"
"Centro Yoga Energia Locarno","Yoga","Via dei Vicini 9, 6648 Minusio, Svizzera","+41 91 743 73 31","Orari da verificare","","46.177869000000001","8.8111949999999997"
"Centro Yoga Padma","Yoga","Via al Ramone 2, 6500 Bellinzona, Svizzera","+41 78 645 21 07","Orari da verificare","http://www.centroyogapadma.ch/","46.202193999999999","9.0237449999999999"
"Centro Yoga Saronno","Yoga","Via Ai Campi, 17/A, 20815 Cogliate MB, Italia","+39 347 788 7567","Lun chiuso | Mar 11-11:45, 19:30-21 | Mer 19:30-21 | Gio chiuso | Ven 19:30-21 | Sab chiuso | Dom chiuso","","45.636944999999997","9.0774310000000007"
"Chanbara Paradiso","Chanbara","Via Calprino 3, 6900 Paradiso, Svizzera","+41 76 298 44 33","Orari da verificare","","45.989013","8.940486"
"Chiara Tansini Amchi-Naturopata - Terapie Olistiche e Massaggio Ayurvedico","Fitness","Via della Pace 3, 6600 Locarno, Svizzera","+41 79 263 48 36","Lun 08:30-19 | Mar 08:30-19 | Mer 08:30-19 | Gio 08:30-19 | Ven 08:30-19 | Sab 10-17 | Dom chiuso","http://www.blueberyl.org/","46.168334999999999","8.7988949999999999"
"Chiasso","Fitness","Svizzera","","Orari da verificare","http://www.chiasso.ch/","45.8367","9.0246110000000002"
"Chiasso Fisio Lab","Fitness","Via Dante Alighieri 5, 6830 Chiasso, Svizzera","+41 78 223 57 21","Lun 07:30-21 | Mar 07:30-21 | Mer 07:30-21 | Gio 07:30-21 | Ven 07:30-21 | Sab 07:30-21 | Dom chiuso","http://chiassofisiolab.ch/","45.836981000000002","9.0259250000000009"
"Chiesa parrocchiale di S. Giovanni Battista in Avigno","Fitness","Via Astico, 14, 21100 Varese VA, Italia","+39 0332 229405","Orari da verificare","","45.838132999999999","8.7944820000000004"
"Chiva Sun Holistic Healing Center & Spa | Yoga Ferien, Workshops, Retreats, Massagen & Wellness","Yoga","Via Storta 74, 6645 Minusio, Svizzera","+41 91 744 62 72","Lun 09-19 | Mar 09-19 | Mer 09-19 | Gio 09-19 | Ven 09-19 | Sab 09-19 | Dom 09-19","https://www.chivasun.ch/","46.184147000000003","8.8246169999999999"
"Cimetta Sport","Fitness","piazza grande 15, 6600 Locarno, Svizzera","+41 91 751 23 78","Lun chiuso | Mar chiuso | Mer chiuso | Gio chiuso | Ven chiuso | Sab 09-17 | Dom chiuso","http://www.cimettasport.ch/","46.168579000000001","8.794594"
"Circolo Scherma Locarno","Scherma | Fitness","Via Ripa Canova 1, 6600 Locarno, Svizzera","+41 79 620 36 91","Lun chiuso | Mar chiuso | Mer 13:15-21 | Gio chiuso | Ven chiuso | Sab 09:30-12 | Dom chiuso","http://www.schermalocarno.ch/","46.167900000000003","8.7927350000000004"
"Cisalfa Sport Gavirate","Fitness","Viale Ticino, c.c. Campo dei Fiori, 82, 21026 Gavirate VA, Italia","+39 0332 732099","Lun 09-21 | Mar 09-21 | Mer 09-21 | Gio 09-21 | Ven 09-21 | Sab 09-21 | Dom 09-21","https://www.cisalfasport.it/it-it/storelocator/italia/lombardia/varese/gavirateutm_source=google&utm_medium=GMBSitelink&utm_campaign=GMBSitelink_Gavirate_CIS015","45.838799000000002","8.7042280000000005"
"Cisalfa Sport Varese","Fitness","P.za della Repubblica, c.c. Le Corti, 25, 21100 Varese VA, Italia","+39 0332 281966","Lun 09-19 | Mar 09-19 | Mer 09-19 | Gio 09-19 | Ven 09-19 | Sab 09-19 | Dom 14:30-19","https://www.cisalfasport.it/it-it/storelocator/italia/lombardia/varese/vareseutm_source=google&utm_medium=GMBSitelink&utm_campaign=GMBSitelink_Varese_CIS816","45.815933999999999","8.8278859999999995"
"CITY Agno","Fitness","Via Ponte Vecchio, 6982 Agno, Svizzera","+41 79 248 52 34","Lun 06-22 | Mar 06-22 | Mer 06-22 | Gio 06-22 | Ven 06-22 | Sab 08-19 | Dom 08-19","https://www.citylugano.ch/","46.001945999999997","8.9022749999999995"
"CITY Lugano","Fitness","Via Pasquale Lucchini 7, 6900 Lugano, Svizzera","+41 79 248 52 34","Lun 06-22 | Mar 06-22 | Mer 06-22 | Gio 06-22 | Ven 06-22 | Sab 07-19 | Dom 07-19","http://www.citylugano.ch/","46.006346000000001","8.9571520000000007"
"CITY Paradiso","Fitness","Via Generale Guisan 8A, 6900 Paradiso, Svizzera","+41 79 248 52 34","Lun 06-22 | Mar 06-22 | Mer 06-22 | Gio 06-22 | Ven 06-22 | Sab 07-19 | Dom 07-19","https://www.citylugano.ch/","45.991714999999999","8.9461089999999999"
"Club Amici Dello Sport Sezione Calcio","Fitness","Via Monte Grappa, 15, 21052 Busto Arsizio VA, Italia","+39 0331 627406","Orari da verificare","","45.602032000000001","8.8383929999999999"
"Club Arti Marziali Caslano","Fitness","Via Baragia 34, 6987 Caslano, Svizzera","+39 348 721 3711","Lun chiuso | Mar chiuso | Mer 17-21 | Gio chiuso | Ven 17-21 | Sab chiuso | Dom chiuso","http://artimarzialicaslano.com/home","45.976987000000001","8.8807880000000008"
"Club House","Fitness","Via Maraini 3, 6963 Lugano, Svizzera","+41 91 941 43 40","Lun 06-20 | Mar 06-20 | Mer 06-22 | Gio 06-22 | Ven 06-22 | Sab 08-22 | Dom 08-20","","46.024802000000001","8.9667469999999998"
"Club Move SA Palestra","Fitness","Via Trevano 85, 6900 Lugano, Svizzera","+41 91 924 01 07","Lun 05-00 | Mar 05-00 | Mer 05-00 | Gio 05-00 | Ven 05-00 | Sab 05-00 | Dom 05-00","http://www.clubmove.ch/","46.020296999999999","8.9573129999999992"
"Club Scherma Varese","Scherma","Via Fratelli Baroffio, 6, 21100 Varese VA, Italia","+39 338 923 4485","Lun 17:30-21:30 | Mar 17:30-21:30 | Mer 17:30-21:30 | Gio 17:30-21:30 | Ven 17:30-21:30 | Sab chiuso | Dom chiuso","http://www.clubschermavarese.it/","45.828941999999998","8.8304779999999994"
"Club Shung-Do-Kwan","Fitness","Via Varrone 12, 6500 Bellinzona, Svizzera","+41 91 825 50 13","Orari da verificare","","46.201225999999998","9.0292630000000003"
"Club Yoga della risata Saronno #ridiconme","Yoga","Via Roma, 119, 21047 Saronno VA, Italia","","Lun chiuso | Mar chiuso | Mer chiuso | Gio chiuso | Ven chiuso | Sab 10-11:30 | Dom chiuso","https://www.tizianaazzani.it/","45.623384000000001","9.0476740000000007"
"Combat Soul Assoc. Sportiva Dilettant.","Fitness","Via G. Miani, 4/A, 21052 Busto Arsizio VA, Italia","+39 0331 024995","Orari da verificare","","45.615205000000003","8.8531700000000004"
"Comune di Luino","Fitness","Piazza Crivelli Serbelloni, 1, 21016 Luino VA, Italia","+39 0332 543511","Lun 09-12, 15:30-17:30 | Mar chiuso | Mer 09-12 | Gio 09-12, 15:30-17:30 | Ven 09-12 | Sab 09-11:30 | Dom chiuso","http://www.comune.luino.va.it/","46.002479999999998","8.7424090000000003"
"Concept9 ASD","Fitness","Via Ruggero Bonghi, 6, 21052 Busto Arsizio VA, Italia","+39 366 874 9203","Lun 07-21 | Mar 09-21 | Mer 09-21 | Gio 09-21 | Ven 07-21 | Sab 08:30-12 | Dom chiuso","https://www.concept9.it/","45.607430000000001","8.8637230000000002"
"ConCronos","Fitness","Via Arbostra 2, 6900 Lugano, Svizzera","+41 91 940 24 00","Lun chiuso | Mar chiuso | Mer chiuso | Gio chiuso | Ven chiuso | Sab chiuso | Dom chiuso","http://www.concronos.ch/","46.023128999999997","8.9692050000000005"
"Contrology & Flow- Home Studio Pilates Classico","Pilates","Via Treviso, 8, 21052 Busto Arsizio VA, Italia","+39 338 951 6609","Lun 08-21:30 | Mar 08-21 | Mer 08-21 | Gio 07-21 | Ven 12:30-20 | Sab chiuso | Dom chiuso","https://www.facebook.com/profile.phpid=100088387914040","45.60398","8.8676879999999993"
"Core Pilates Studio","Pilates","Corso Elvezia 37, 6900 Lugano, Svizzera","+41 78 898 25 69","Lun 07-20 | Mar 07-20 | Mer 07-20 | Gio 07-20 | Ven 07-20 | Sab 08:30-14:30 | Dom chiuso","","46.010787999999998","8.9560650000000006"
"Cornèr Arena","Fitness","Via Chiosso 8, 6948 Porza, Svizzera","+41 91 935 19 20","Lun 13:45-16:45 | Mar 13:45-16:45 | Mer 14:45-16:45 | Gio 13:45-16:45 | Ven 13:45-16:15, 20:45-23 | Sab 13:45-17:45 | Dom 14-16:30","https://www.cornerarena.ch/","46.026479999999999","8.9634020000000003"
"Corpo Libero","Fitness","Via della Cereda, 31, 21100 Varese VA, Italia","+39 0332 227876","Orari da verificare","https://www.corpoliberovarese.it/","45.843741000000001","8.7999790000000004"
"Corsi privati difesa personale, corsi self defence per donne fitness & arti marziali","Difesa Personale | Fitness","6900 Lugano, Svizzera","+41 78 326 42 97","Lun 00:00-24:00 | Mar 08-19 | Mer 08-19 | Gio 08-19 | Ven 08-19 | Sab 08-19 | Dom 08-12","https://www.luganofitmartialart.com/","46.003433999999999","8.9507849999999998"
"Corso addetto antincendio a Tradate 19 marzo 2026","Fitness","Via Pavia, 18, 21049 Tradate VA, Italia","+39 347 535 3593","Lun 08-20 | Mar 08-20 | Mer 08-20 | Gio 08-20 | Ven 08-20 | Sab 08-20 | Dom chiuso","","45.68862","8.9088279999999997"
"Country Smile Sala Corsi","Fitness","Viale Giuseppe Motta 3, 6500 Bellinzona, Svizzera","+41 76 377 29 29","Lun 00:00-24:00 | Mar 00:00-24:00 | Mer 00:00-24:00 | Gio 00:00-24:00 | Ven chiuso | Sab chiuso | Dom 00:00-24:00","http://www.countrysmile.ch/","46.198618000000003","9.0240600000000004"
"CRAB's Fitness Boutique","Fitness","Via P. Togliatti, 21B, 21047 Saronno VA, Italia","+39 331 922 4565","Lun 09-21 | Mar 09-21 | Mer 09-21 | Gio 09-21 | Ven 09-21 | Sab 09-13 | Dom chiuso","","45.63409","9.0421720000000008"
"Crepaldi's Boxing Lab","Boxe","Viale Padre G. B. Aguggiari, 77, 21100 Varese VA, Italia","+39 351 541 0054","Lun 10:30-14:30, 17-21 | Mar 10:30-14:30, 17-21 | Mer 10:30-14:30, 17-21 | Gio 10:30-14:30, 17-21 | Ven 10:30-14:30, 17-21 | Sab chiuso | Dom chiuso","","45.830100000000002","8.8230009999999996"
"Crespi Sport","Fitness","Via XV Agosto, 20/22, 21016 Luino VA, Italia","+39 0332 537689","Lun 15-19 | Mar 09:30-12:30, 15-19 | Mer 09:30-12:30, 15-19 | Gio 09:30-12:30, 15-19 | Ven 09:30-12:30, 15-19 | Sab 09:30-12:30, 15-19 | Dom chiuso","http://www.crespisport.com/","46.000909","8.7429790000000001"
"CrossFit Bellinzona","CrossFit | Fitness","Via del Carmagnola 28, 6517 Arbedo, Svizzera","+41 76 759 04 36","Lun 07-20 | Mar 07-20 | Mer 06-20 | Gio 07-20 | Ven 07-20 | Sab 10-12 | Dom chiuso","https://www.crossfitbellinzona.ch/","46.210177000000002","9.0403210000000005"
"CrossFit Bilitio","CrossFit | Fitness","In Tirada 31, 6528 Camorino, Svizzera","+41 77 487 28 40","Lun 06-21:15 | Mar 06-21:15 | Mer 06-21:15 | Gio 06-21:15 | Ven 06-21:15 | Sab 09-19 | Dom 09-19","http://www.crossfitbilitio.ch/","46.159585","8.9833979999999993"
"CrossFit Black Dahlia","CrossFit | Fitness","Corso S. Gottardo 104, 6830 Chiasso, Svizzera","+41 76 763 37 87","Orari da verificare","https://crossfitblackdahlia.ch/","45.837820999999998","9.0227570000000004"
"CrossFit Gallarate","CrossFit | Fitness","Via Tognasca, 21013 Gallarate VA, Italia","+39 347 402 3747","Lun 08-22 | Mar 08-22 | Mer 08-22 | Gio 08-22 | Ven 08-21:30 | Sab 08:30-13 | Dom 09-12:30","https://www.crossfitgallarate.com/","45.642180000000003","8.8215430000000001"
"CrossFit il Tempio","CrossFit | Fitness","Via Cassano Magnago, 6, 21052 Busto Arsizio VA, Italia","+39 347 714 5177","Lun 09:30-13:30, 16:30-22 | Mar 09:30-13:30, 17-21:30 | Mer 06-13:30, 17-22 | Gio 09:30-13:30, 17-21:30 | Ven 06-13:30, 16:30-21:30 | Sab 08:30-12:30 | Dom chiuso","https://crossfitiltempio.altervista.org/","45.625281000000001","8.8521529999999995"
"CrossFit Locarno","CrossFit | Fitness","Via S. Gottardo 1, 6600 Locarno, Svizzera","+41 79 815 03 80","Lun 12-20:30 | Mar 06:30-19:30 | Mer 12-20:30 | Gio 06:30-20:30 | Ven 12-20:30 | Sab 11-12 | Dom chiuso","http://www.crossfitlocarno.com/","46.173734000000003","8.8019999999999996"
"CrossFit Lugano","CrossFit | Fitness","Via Fola 11, 6963 Lugano, Svizzera","+41 79 198 84 20","Lun 06-20 | Mar 06-20 | Mer 06-20 | Gio 06-20 | Ven 06-20 | Sab 06-20 | Dom 08-18","http://www.crossfitlugano.com/","46.016795000000002","8.9631980000000002"
"CrossFit Motus Rostock","CrossFit | Fitness","Friedrichshöhe 3, 18059 Rostock","01573 0857776","Lun 08-20 | Mar 08-20 | Mer 08-20 | Gio 08-20 | Ven 08-20 | Sab 09-13 | Dom 09-13","https://www.crossfit-motus-rostock.com/","54.074638","12.061612999999999"
"CrossFit Saronno","CrossFit | Fitness","Viale Lombardia, 19, 21047 Saronno VA, Italia","+39 346 963 3701","Lun 06-21:15 | Mar 07-20:30 | Mer 06-21:15 | Gio 07-20:30 | Ven 06-21:15 | Sab 10-11:30 | Dom chiuso","https://www.crossfitsaronno.it/","45.614392000000002","9.0439500000000006"
"CrossFit Sturmflut","CrossFit | Fitness","Erich-Schlesinger-Straße 62, 18059 Rostock","01522 5416265","Lun 07:30-09:30, 15:30-20:30 | Mar 07:30-09:30, 15:30-20:30 | Mer 06:30-08:30, 14:30-20:30 | Gio 06:30-08:30, 15:30-20:30 | Ven 07:30-09:30, 14:30-20:30 | Sab 09:30-13:30 | Dom 09:30-13:30","https://www.crossfit-sturmflut.com/","54.073289000000003","12.138085"
"CrossFit Three F.","CrossFit | Fitness","Via Alessandro Volta, 26, 21040 Lozza VA, Italia","+39 338 541 0423","Lun 06-14, 15-21 | Mar 07-14, 15-21 | Mer 06-14, 15-21 | Gio 07-14, 16-21 | Ven 06-14, 15-21 | Sab 10-12 | Dom 10:30-11:30","https://www.crossfitthreefingers.com/","45.774945000000002","8.8669180000000001"
"CrossFit Varese","CrossFit | Fitness","Via I Maggio, 10/A, 21022 Azzate VA, Italia","+39 320 429 2731","Lun 10:30-13:30, 15:30-20:30 | Mar 12:30-13:30, 15:30-20:30 | Mer 10:30-13:30, 15:30-20:30 | Gio 12:30-13:30, 15:30-20:30 | Ven 10:30-13:30, 15:30-20:30 | Sab 10:30-11:30 | Dom chiuso","https://www.crossfitvarese.com/","45.772319000000003","8.7851630000000007"
"CrossFit Venegono Inferiore","CrossFit | Fitness","Via D. Chiesa, 22, 21040 Venegono Inferiore VA, Italia","+39 0331 865524","Lun 08-22 | Mar 08-22 | Mer 08-22 | Gio 08-22 | Ven 08-22 | Sab 08-18 | Dom 09-12:30","http://www.ilquintoseitu.it/","45.734006999999998","8.891591"
"CrossFit V-ONE","CrossFit | Fitness","Via Cesare Correnti, 2, 21100 Varese VA, Italia","+39 0332 812910","Lun 06-22:30 | Mar 06-22:30 | Mer 06-22:30 | Gio 06-22:30 | Ven 06-22:30 | Sab 08-13:30 | Dom 09-13","http://www.palestresporting.it/index.php/crossfit","45.797604999999997","8.8425960000000003"
"Crystal Piscine","Fitness","Via Statuto, 41, 21013 Gallarate VA, Italia","+39 333 907 9923","Orari da verificare","http://www.crystalpiscine.it/","45.684806999999999","8.7999569999999991"
"CSM Centro Sportivo Minusio SA","Fitness","Via S. Gottardo 51, 6648 Minusio, Svizzera","+41 91 743 45 58","Lun 08-21:30 | Mar 08-21:30 | Mer 08-21:30 | Gio 08-21:30 | Ven 08-21:30 | Sab 10-18 | Dom 14-18","http://csm-minusio.ch/","46.175224999999998","8.8095999999999997"
"CSRB Gianpietro Zappa","Fitness","Via Mulini 6, 6934 Bioggio, Svizzera","+41 91 611 10 55","Lun chiuso | Mar 09:30-14, 17-21:30 | Mer 09:30-21:30 | Gio 09:30-14, 17-21:30 | Ven 09:30-14, 17-21:30 | Sab 09-18 | Dom 13-17","https://www.bioggio.ch/CSRB-Gianpietro-Zappavis=2","46.011890999999999","8.909573"
"Curling Club Chiasso","Fitness","Pista di ghiaccio,, 6830 Chiasso, Svizzera","","Orari da verificare","http://www.curlingclubchiasso.ch/","45.833902000000002","9.0145859999999995"
"Curti Studio Salute","Fitness","Via Giulio Bizzozero, 7, 21100 Varese VA, Italia","+39 377 090 9555","Lun 08-20 | Mar 08-20 | Mer 08-20 | Gio 08-20 | Ven 08-20 | Sab chiuso | Dom chiuso","http://www.curtistudiosalute.com/","45.815904000000003","8.8264130000000005"
"Curti Training Room","Pilates","Via Giulio Bizzozero, 7, 21100 Varese VA, Italia","+39 375 557 3661","Lun 08:30-21 | Mar 08:30-21 | Mer 08:30-21 | Gio 08:30-21 | Ven 08:30-21 | Sab chiuso | Dom chiuso","https://www.curtitraining.it/","45.815736999999999","8.8260260000000006"
"Daniele Pinco - Personal Fitness Trainer - Coach","Fitness","Via Cesare Correnti, 2, 21100 Varese VA, Italia","+39 348 265 8461","Lun 06-22 | Mar 06-22 | Mer 06-22 | Gio 06-22 | Ven 06-22 | Sab chiuso | Dom 09-13","https://danielepinco.it/","45.797545","8.8429020000000005"
"Davide Rosignoli personal trainer formefitness varese","Fitness","Via Speri della Chiesa Jemoli, 15, 21100 Varese VA, Italia","+39 349 082 3480","Lun 07:30-21:30 | Mar 07:30-21:30 | Mer 07:30-21:30 | Gio 07:30-21:30 | Ven 07:30-21:30 | Sab 07:30-14:30 | Dom chiuso","http://www.formefitness.it/","45.820476999999997","8.8232890000000008"
"DD FITNESS VARESE - Pilates Boutique","Pilates | Fitness","Via Piave, 12, 21100 Varese VA, Italia","+39 378 304 5765","Lun 07-20 | Mar 07-20 | Mer 07-20 | Gio 07-20 | Ven 07-20 | Sab 07-20 | Dom chiuso","https://www.pilatesboutique.it/","45.814239000000001","8.8315429999999999"
